taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:955455,955455,Polydesmus mistrei,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227704,227704,Polydesmus niveus,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:955457,955457,Polydesmus plicatus,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227705,227705,Polydesmus progressus,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:885344,885344,Polydesmus racovitzai,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227706,227706,Polydesmus raffardi,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227707,227707,Polydesmus taranus,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227441,227441,Polyxenus albus,Polyxenus,Polyxenidae,FALSE,TAXREF_mainland
species:cdref:64854,64854,Polyxenus lagurus,Polyxenus,Polyxenidae,FALSE,TAXREF_mainland
species:cdref:287596,287596,Polyxenus lapidicola,Polyxenus,Polyxenidae,FALSE,TAXREF_mainland
species:cdref:227442,227442,Polyxenus macedonicus,Polyxenus,Polyxenidae,FALSE,TAXREF_mainland
species:cdnom:227473,227473,Polyzonium germanicum,Polyzonium,Polyzoniidae,TRUE,observed_RMQS
species:cdref:227709,227709,Propolydesmus germanicus,Propolydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227710,227710,Propolydesmus helveticus,Propolydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdnom:227714,227714,Propolydesmus testaceus,Propolydesmus,Polydesmidae,TRUE,observed_RMQS
species:cdref:227715,227715,Propolydesmus troglobius,Propolydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227610,227610,Proteroiulus broelemanni,Proteroiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227611,227611,Proteroiulus fuscus,Proteroiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227447,227447,Protoglomeris vasconica,Protoglomeris,Protoglomeridae,FALSE,TAXREF_mainland
species:cdref:227533,227533,Pyreneosoma barbieri,Pyreneosoma,Haplobainosomatidae,FALSE,TAXREF_mainland
species:cdref:227534,227534,Pyreneosoma bessoni,Pyreneosoma,Haplobainosomatidae,FALSE,TAXREF_mainland
species:cdref:785378,785378,Pyreneosoma birosensis,Pyreneosoma,Haplobainosomatidae,FALSE,TAXREF_mainland
species:cdref:785380,785380,Pyreneosoma consoranensis,Pyreneosoma,Haplobainosomatidae,FALSE,TAXREF_mainland
species:cdref:785382,785382,Pyreneosoma convenarensis,Pyreneosoma,Haplobainosomatidae,FALSE,TAXREF_mainland
species:cdref:227535,227535,Pyreneosoma digitatum,Pyreneosoma,Haplobainosomatidae,FALSE,TAXREF_mainland
species:cdref:227536,227536,Pyreneosoma ribauti,Pyreneosoma,Haplobainosomatidae,FALSE,TAXREF_mainland
species:cdref:785383,785383,Pyreneosoma vicdessosensis,Pyreneosoma,Haplobainosomatidae,FALSE,TAXREF_mainland
species:cdref:227582,227582,Pyrgocyphosoma balazuci,Pyrgocyphosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227583,227583,Pyrgocyphosoma dalmazzense,Pyrgocyphosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227584,227584,Pyrgocyphosoma doriae,Pyrgocyphosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:785393,785393,Rhymogona hessei,Rhymogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227585,227585,Rhymogona montivaga,Rhymogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:944530,944530,Ribauteuma furcatum,Ribauteuma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:885347,885347,Scutogona alba,Scutogona,Chamaesomatidae,FALSE,TAXREF_mainland
species:cdref:227501,227501,Scutogona jeanneli,Scutogona,Chamaesomatidae,FALSE,TAXREF_mainland
